t_min,psi,f_peak,delta_f_mhz,delta_p,stable
0.0,0.9999599368623333,141.7000550652304,-0.044934769590554424,0.0,False
10.0,0.9999588683601213,141.70012749250893,0.02749250893430144,-0.0002161264221654259,False
20.0,0.9999494427748681,141.69998325812355,-0.11674187643961886,-0.0009511493692927657,False
30.0,0.9999578054825226,141.70016696412472,0.0669641247270647,-0.00016824647149414726,False
40.0,0.9999576285428801,141.69999368364842,-0.10631635157665187,0.0003213897827289921,False
50.0,0.9999522033836528,141.7002284524284,0.1284524284130839,0.001105672706295289,False
